id;token;card_expiry_month;card_expiry_year;issuer_return_code;truncated_card_number
1;Berkshire Direct Licensed;Fords Nigeria Pants;Maine intangible coherent;indexing;Account
2;back-end SAS Franc;payment pixel Bedfordshire;Analyst Checking Account;Plaza Implemented;integrate Sleek 1080p
3;Web USB;RSS programming Metal;District deposit productize;online synthesize Metal;Kansas
4;compress interfaces;e-business;Car Beauty Account;redundant;monitor Phased
5;Springs users world-class;IB matrix;Assurance Computers;Chicken override Re-contextualized;Executive Account
6;cross-platform benchmark Virginia;enterprise;invoice AI;Exclusive indigo card;SSL mobile
7;Interactions Tala Freeway;Outdoors;budgetary empowering;Fresh architecture;methodologies
8;interactive Pizza;Industrial;deploy;Books;Corners Kwacha
9;Designer;back-end;Plastic;wireless parsing Frozen;Branding
10;Implementation;back;Practical Program monetize;intangible model Tuna;SDD Ruble Indonesia
