id;token;card_expiry_month;card_expiry_year;truncated_card_number
1;wireless Mouse Island;Table Dakota program;Chips users;Wall
2;Steel Facilitator Representative;invoice redundant world-class;niches;Factors withdrawal hack
3;solution;Orchestrator;Consultant Concrete cross-platform;cutting-edge
4;Wooden Producer;Concrete;Generic Granite;Customer Global
5;Facilitator expedite Steel;Global;Dynamic Shoal back-end;Singapore Mouse Refined
6;Outdoors Small;bandwidth;Litas South Hungary;tertiary feed
7;Distributed;Pakistan;Corporate Carolina secondary;Chief payment
8;Bacon Dalasi;compress;territory;green
9;up state Lodge;Arkansas;Cape Incredible maximize;Crescent
10;Handmade;primary Checking Concrete;Car generating reboot;Cheese
